Prefecture,Prefecture (si),Cases,Recovered,Deaths,longitude,latitude,type
Ampara,අම්පාර,3,0,0,81.71473,7.183049,dist
Anuradhapura,අනුරාධපුරය,12,0,0,80.466936,8.374519,dist
Badulla,බදුල්ල,3,0,0,81.058283,6.988795,dist
Batticaloa,මඩකළපුව,1,0,0,81.434774,7.807882,dist
Colombo,කොළඹ,155,2,0,79.971264,6.847274,dist
Galle,ගාල්ල,1,0,0,80.220642,6.219258,dist
Gampaha,ගම්පහ,47,1,0,80.02694,7.189221,dist
Hambantota,හම්බන්තොට,3,0,0,81.180751,6.258969,dist
Jaffna,යාපනය,16,0,0,80.148179,9.742586,dist
Kalutara,කළුතර,63,0,0,80.142188,6.562991,dist
Kandy,මහනුවර,13,0,0,80.658484,7.307723,dist
Kegalle,කෑගල්ල,8,0,0,80.334929,7.110939,dist
Kilinochchi,කිලිනොච්චිය,0,0,0,80.287481,9.388387,dist
Kurunegala,කුරුණෑගල,20,0,0,80.247454,7.64218,dist
Mannar,මන්නාරම,0,0,0,80.080114,8.86997,dist
Matale,මාතලේ,1,0,0,80.69274,7.64601,dist
Matara,මාතර,2,0,0,80.531918,6.15467,dist
Moneragala,මොණරාගල,4,0,0,81.331699,6.766113,dist
Mullaitivu,මුලතිව්,0,0,0,80.514158,9.219403,dist
Nuwara Eliya,නුවරඑළිය,0,0,0,80.709376,6.975282,dist
Polonnaruwa,පොළොන්නරුව,1,0,0,81.040063,8.015811,dist
Puttalam,පුත්තලම,41,0,0,79.897757,7.953518,dist
Quarantine Centers,,41,0,0,79.405332,7.288919,qc
Ratnapura,රත්නපුර,8,0,0,80.590448,6.567805,dist
Trincomalee,ත්‍රිකුණාමලය ,1,0,0,81.088301,8.59258,dist
Vavuniya,වවුනියාව,2,0,0,80.484929,8.83337,dist
Naval Base - Welisara ,වැලිසර නාවික හමුදා කඳවුර,170,0,0,79.905327,7.020416,other
Unspecified,තවම නිශ්චිත නැති,33,131,7,79.605332,7.288919,uns
